cp437_DOSLatinUS	Unicode	Comment
0x7F	0x0394	Greek capital delta
0xE1	0x03B2	Greek small beta
0xE3	0x03A0	Greek capital pi
0xE3	0x220F	n-ary product sign
0xE4	0x2211	n-ary summation sign
0xE6	0x03BC	Mu Small
0xEB	0x00F0	small eth
0xEB	0x2202	partial derivative sign
0xED	0x03D5	Phi Small (Closed Form)
0xED	0x1D719	Italicized Phi Small (Closed Form)
0xED	0x2205	empty set sign
0xED	0x2300	diameter sign
0xED	0x00D8	Capital Latin letter O with stroke
0xED	0x00F8	Lowercase Latin letter O with stroke
0xEE	0x2208	element-of sign
0xEE	0x20AC	euro sign
0xFB	0x2713	check mark
